Id,SalePrice
1461,128502.52
1462,153167.99
1463,185107.472
1464,182103.208
1465,198368.938
1466,184621.37
1467,166524.276
1468,175722.088
1469,181120.002
1470,125589.632
1471,200177.772
1472,95479.908
1473,98701.038
1474,154112.654
1475,143414.77
1476,374312.102
1477,252764.174
1478,300393.836
1479,241740.116
1480,506495.564
1481,302318.0
1482,209406.458
1483,177892.908
1484,172789.384
1485,171376.85
1486,183681.7
1487,313145.84
1488,244354.94
1489,210604.978
1490,197158.316
1491,188810.064
1492,98214.544
1493,183924.124
1494,299465.41
1495,292514.074
1496,224555.116
1497,191841.518
1498,155291.684
1499,153391.772
1500,153480.712
1501,169690.87
1502,163451.436
1503,273178.242
1504,234550.934
1505,212972.434
1506,183570.984
1507,219581.83
1508,204172.256
1509,162756.16
1510,153121.762
1511,150230.136
1512,173633.568
1513,147975.612
1514,163205.964
1515,179476.02
1516,159871.01
1517,152488.638
1518,132424.584
1519,226085.832
1520,139366.65
1521,146236.5
1522,161205.47
1523,113324.426
1524,124046.682
1525,124892.716
1526,127606.18
1527,107886.37
1528,127996.1
1529,143243.208
1530,169275.2
1531,127854.414
1532,106425.952
1533,151441.39
1534,118155.87
1535,160266.23
1536,118016.058
1537,79170.848
1538,196896.866
1539,234203.756
1540,115206.886
1541,149173.972
1542,143640.6
1543,216847.216
1544,79993.306
1545,104194.574
1546,121243.184
1547,139672.844
1548,134079.336
1549,114358.284
1550,135204.676
1551,118626.3
1552,151775.078
1553,150728.088
1554,111093.094
1555,170060.468
1556,96794.11
1557,126320.704
1558,89714.61
1559,120819.81
1560,150551.248
1561,152867.904
1562,128221.35
1563,124684.048
1564,163738.388
1565,153912.512
1566,232152.376
1567,80407.698
1568,229879.99
1569,148485.914
1570,128854.586
1571,136701.54
1572,145161.074
1573,243323.466
1574,122260.368
1575,221198.15
1576,214324.138
1577,203240.582
1578,153627.246
1579,143369.866
1580,189826.844
1581,144380.698
1582,129321.44
1583,332392.978
1584,234092.81
1585,139948.7
1586,75435.612
1587,104589.292
1588,153675.822
1589,105114.924
1590,134054.104
1591,103551.972
1592,126765.344
1593,121444.53
1594,132259.136
1595,122347.718
1596,224541.014
1597,161334.486
1598,179723.128
1599,207555.654
1600,196220.13
1601,80306.968
1602,114192.812
1603,98267.036
1604,285460.188
1605,252635.852
1606,167577.698
1607,165348.614
1608,214743.4
1609,194328.592
1610,162895.4
1611,150281.622
1612,165591.018
1613,167219.59
1614,118852.04
1615,89264.658
1616,82722.666
1617,89984.002
1618,127671.4
1619,136351.536
1620,152823.276
1621,138455.268
1622,153188.344
1623,287483.46
1624,212746.25
1625,129438.944
1626,171357.722
1627,188899.8
1628,279890.138
1629,175357.772
1630,347801.778
1631,224677.542
1632,241853.268
1633,169659.146
1634,180888.894
1635,179897.212
1636,159667.306
1637,175272.318
1638,215108.726
1639,177278.7
1640,246109.252
1641,179486.75
1642,226693.348
1643,229249.72
1644,227818.01
1645,181221.99
1646,151912.922
1647,167566.522
1648,144588.086
1649,140123.676
1650,124118.988
1651,123832.46
1652,93369.0
1653,96186.7
1654,155676.016
1655,161126.41
1656,150007.684
1657,154464.288
1658,153003.982
1659,149210.404
1660,146476.482
1661,424716.334
1662,373155.634
1663,377035.738
1664,438407.06
1665,318250.266
1666,339200.572
1667,339670.512
1668,327646.2
1669,306027.738
1670,339016.166
1671,262599.728
1672,455394.78
1673,301930.834
1674,254195.484
